campaign_id,campaign_name,objective,ad_group
120206279824710641,CBO | Testing Campaign | Whatsapp | Mar 13 2024,OUTCOME_ENGAGEMENT,App
120206661180810641,Awareness 2024,OUTCOME_AWARENESS,Brand & awareness
120206662557710641,Scaling | Physiotherapy,OUTCOME_ENGAGEMENT,Physiotherapy
120206662819920641,Creative Testing Hub,OUTCOME_ENGAGEMENT,All services (general)
120207484168300641,Engagement Campaign,OUTCOME_ENGAGEMENT,Brand & awareness
120207512748190641,App Engagment,OUTCOME_ENGAGEMENT,App
120207562967710641,Slaes Objective | Physio,OUTCOME_SALES,Physiotherapy
120207719672750641,CALLS CTA,OUTCOME_ENGAGEMENT,All services (general)
120207749462600641,Physiotherapy | Full Advantage+ | 2024/4/29,OUTCOME_ENGAGEMENT,Physiotherapy
120207749526440641,Physiotherapy | Original Audience | 2024/4/29,OUTCOME_ENGAGEMENT,Physiotherapy
120207889875270641,App Awareness | Link Click | Android | 2024/5/4,OUTCOME_APP_PROMOTION,App
120207890948560641,App Traffic (Linktree) 2024/5/4,OUTCOME_TRAFFIC,App
120208006821180641,Nursing | Advantage+ | Targeted Cities | Tailored messages campaign | 2024/5/8,OUTCOME_ENGAGEMENT,Nursing
120208008060280641,Nursing | Original Audience | Feed Only | 2024/5/8,OUTCOME_ENGAGEMENT,Nursing
120208187492930641,IPR | Original Audince | CBO | 2024/5/13,OUTCOME_ENGAGEMENT,International referral
120208209680880641,Nursing | $5 | WA & Msgr | Rich PPL | 2024/5/13,OUTCOME_ENGAGEMENT,Nursing
120208466688490641,Nursing CBO 2024/5/19,OUTCOME_ENGAGEMENT,Nursing
120208586907690641,Lab Test | Original Audince | 2024/5/22,OUTCOME_ENGAGEMENT,Lab tests
120208780726700641,App Installs | Android | 2024 May 27,OUTCOME_APP_PROMOTION,App
120208780823020641,App Installs | iOS | 2024 May 27,OUTCOME_APP_PROMOTION,App
120208838386040641,Physiotherapy | LAL | 2024 May 30,OUTCOME_ENGAGEMENT,Physiotherapy
120208838386070641,Physiotherapy | Full Advantage+ | 2024 May 30,OUTCOME_ENGAGEMENT,Physiotherapy
120208838386110641,Physiotherapy | Original Audience | 2024 May 30,OUTCOME_ENGAGEMENT,Physiotherapy
120208838433360641,Nursing | Instant Forms | 2024 May 30,OUTCOME_LEADS,Nursing
120208900306680641,📍Physiotherapy | $6 | Testing,OUTCOME_ENGAGEMENT,Physiotherapy
120208900779870641,Hiring Campaign,OUTCOME_ENGAGEMENT,Recruitment
120208901761200641,Nursing | Testing,OUTCOME_ENGAGEMENT,Nursing
120208943174270641,Omni Awareness Campaign,OUTCOME_AWARENESS,Brand & awareness
120209505761140641,Dr Visit | $5 | Testing,OUTCOME_ENGAGEMENT,Doctor visit
120209528715310641,Imaging Services | $8 | 2024 Jul 7,OUTCOME_ENGAGEMENT,Imaging
120209654211350641,Physiotherapy | Original Audience | 2024 Jul 15,OUTCOME_ENGAGEMENT,Physiotherapy
120209655369130641,Physiotherapy | $10 | LAL | 2024 Jul 15,OUTCOME_ENGAGEMENT,Physiotherapy
120209655369140641,Physiotherapy | $10 | +A | 2024 Jul 15,OUTCOME_ENGAGEMENT,Physiotherapy
120210030896530641,Dr Visit | $15 | Original Audience | 2024/8/1,OUTCOME_ENGAGEMENT,Doctor visit
120210069184820641,IPR | Original Audince | 2024/8/3 | 10$,OUTCOME_ENGAGEMENT,International referral
120210069714370641,B2B | Medical Field | 2024/8/3 | $5,OUTCOME_ENGAGEMENT,B2B
120210069884170641,Aster Dr. Rafi,OUTCOME_ENGAGEMENT,Doctor visit
120210230455380641,B2B | Businesses | $10 | 2024/8/12,OUTCOME_ENGAGEMENT,B2B
120210231454980641,Physiotherapy Course | $10 | CBO | 2024/8/12,OUTCOME_ENGAGEMENT,Physiotherapy
120210280533550641,Physiotherapy | $10 | +A | 2024 Aug 14,OUTCOME_ENGAGEMENT,Physiotherapy
120210280533560641,Physiotherapy | $5 | LAL | 2024 Aug 14,OUTCOME_ENGAGEMENT,Physiotherapy
120210280533570641,Physiotherapy | $15 | Original Audience | 2024 Aug 14,OUTCOME_ENGAGEMENT,Physiotherapy
120210280693630641,📍Lab Test | Original Audince | 2024 Aug 14,OUTCOME_ENGAGEMENT,Lab tests
120210671340250641,Physiotherapy | $15 | Original Audience | 2024 Sep 1,OUTCOME_ENGAGEMENT,Physiotherapy
120210671340350641,Physiotherapy | $5 | LAL | 2024 Sep 1,OUTCOME_ENGAGEMENT,Physiotherapy
120210671340420641,Physiotherapy | $10 | +A | 2024 Sep 1,OUTCOME_ENGAGEMENT,Physiotherapy
120210706603890641,Physiotherapy | $15 | Original Audience | 2024 Sep 3,OUTCOME_ENGAGEMENT,Physiotherapy
120210706603990641,Physiotherapy | $5 | LAL | 2024 Sep 3,OUTCOME_ENGAGEMENT,Physiotherapy
120210706668880641,📍Imaging Services | $8 | 2024 Sep 3,OUTCOME_ENGAGEMENT,Imaging
120210706674940641,📍Dr Visit Main | $35,OUTCOME_ENGAGEMENT,Doctor visit
120210789115000641,📍🌟Physiotherapy | $25 | Original Audience | 2024 Sep 6,OUTCOME_ENGAGEMENT,Physiotherapy
120210789294890641,📍🌟Physiotherapy | $10 | LAL | 2024 Sep 6,OUTCOME_ENGAGEMENT,Physiotherapy
120210851637240641,Physiotherapy | Video Only | $15 | Original Audience | 2024 Sep 9,OUTCOME_ENGAGEMENT,Physiotherapy
120211120211460641,Physiotherapy | $10 | PRICE | Original Audience | 2024 Sep 20,OUTCOME_ENGAGEMENT,Physiotherapy
