month,campaign_id,campaign_name,objective,spend_usd,impressions,reach,clicks,link_clicks,result_type,results
2024-03,120206279824710641,CBO | Testing Campaign | Whatsapp | Mar 13 2024,OUTCOME_ENGAGEMENT,93.66,86669,47238,5923,336,onsite_conversion.messaging_conversation_started_7d,264
2024-03,120206661180810641,Awareness 2024,OUTCOME_AWARENESS,23.92,276423,267859,208,63,reach,267859
2024-03,120206662557710641,Scaling | Physiotherapy,OUTCOME_ENGAGEMENT,79.88,85119,42308,5979,279,onsite_conversion.messaging_conversation_started_7d,280
2024-03,120206662819920641,Creative Testing Hub,OUTCOME_ENGAGEMENT,89.15,65513,26745,4510,461,onsite_conversion.messaging_conversation_started_7d,239
2024-04,120206661180810641,Awareness 2024,OUTCOME_AWARENESS,35.15,460239,384905,407,122,reach,384905
2024-04,120206662557710641,Scaling | Physiotherapy,OUTCOME_ENGAGEMENT,357.02,404688,171735,20549,906,onsite_conversion.messaging_conversation_started_7d,602
2024-04,120206662819920641,Creative Testing Hub,OUTCOME_ENGAGEMENT,353.46,486315,151274,20450,4485,onsite_conversion.messaging_conversation_started_7d,759
2024-04,120207484168300641,Engagement Campaign,OUTCOME_ENGAGEMENT,22.2,121839,85040,340,90,post_engagement,41916
2024-04,120207512748190641,App Engagment,OUTCOME_ENGAGEMENT,23.63,13555,9540,458,42,post_engagement,2518
2024-04,120207562967710641,Slaes Objective | Physio,OUTCOME_SALES,10.25,10105,7272,350,20,onsite_conversion.messaging_conversation_started_7d,9
2024-04,120207719672750641,CALLS CTA,OUTCOME_ENGAGEMENT,1.59,3837,3482,66,47,click_to_call_native_call_placed,
2024-04,120207749462600641,Physiotherapy | Full Advantage+ | 2024/4/29,OUTCOME_ENGAGEMENT,19.86,23173,17996,883,63,onsite_conversion.messaging_conversation_started_7d,30
2024-04,120207749526440641,Physiotherapy | Original Audience | 2024/4/29,OUTCOME_ENGAGEMENT,29.51,29783,23208,1344,121,onsite_conversion.messaging_conversation_started_7d,67
2024-05,120207484168300641,Engagement Campaign,OUTCOME_ENGAGEMENT,13.86,40515,39702,90,24,post_engagement,14856
2024-05,120207512748190641,App Engagment,OUTCOME_ENGAGEMENT,5.12,6390,5609,164,19,post_engagement,717
2024-05,120207749462600641,Physiotherapy | Full Advantage+ | 2024/4/29,OUTCOME_ENGAGEMENT,236.1,131852,69898,5542,658,onsite_conversion.messaging_conversation_started_7d,270
2024-05,120207749526440641,Physiotherapy | Original Audience | 2024/4/29,OUTCOME_ENGAGEMENT,442.81,322231,131169,12378,1277,onsite_conversion.messaging_conversation_started_7d,519
2024-05,120207889875270641,App Awareness | Link Click | Android | 2024/5/4,OUTCOME_APP_PROMOTION,45.23,104232,68547,5636,5702,link_click,5702
2024-05,120207890948560641,App Traffic (Linktree) 2024/5/4,OUTCOME_TRAFFIC,0.9,2443,2088,176,138,link_click,138
2024-05,120208006821180641,Nursing | Advantage+ | Targeted Cities | Tailored messages campaign | 2024/5/8,OUTCOME_ENGAGEMENT,14.52,11730,7648,334,67,onsite_conversion.messaging_conversation_started_7d,6
2024-05,120208008060280641,Nursing | Original Audience | Feed Only | 2024/5/8,OUTCOME_ENGAGEMENT,14.65,10619,6111,352,61,onsite_conversion.messaging_conversation_started_7d,6
2024-05,120208187492930641,IPR | Original Audince | CBO | 2024/5/13,OUTCOME_ENGAGEMENT,57.25,45949,15993,3146,318,onsite_conversion.messaging_conversation_started_7d,135
2024-05,120208209680880641,Nursing | $5 | WA & Msgr | Rich PPL | 2024/5/13,OUTCOME_ENGAGEMENT,30.78,25194,13228,916,138,onsite_conversion.messaging_conversation_started_7d,31
2024-05,120208466688490641,Nursing CBO 2024/5/19,OUTCOME_ENGAGEMENT,129.47,121182,71578,6692,682,onsite_conversion.messaging_conversation_started_7d,332
2024-05,120208586907690641,Lab Test | Original Audince | 2024/5/22,OUTCOME_ENGAGEMENT,50.37,18339,10074,862,121,onsite_conversion.messaging_conversation_started_7d,41
2024-05,120208780726700641,App Installs | Android | 2024 May 27,OUTCOME_APP_PROMOTION,26.7,51508,31317,1319,1123,mobile_app_install,725
2024-05,120208780823020641,App Installs | iOS | 2024 May 27,OUTCOME_APP_PROMOTION,26.42,55879,36771,1580,772,mobile_app_install,436
2024-05,120208838386040641,Physiotherapy | LAL | 2024 May 30,OUTCOME_ENGAGEMENT,21.14,19119,15708,597,28,onsite_conversion.messaging_conversation_started_7d,15
2024-05,120208838386070641,Physiotherapy | Full Advantage+ | 2024 May 30,OUTCOME_ENGAGEMENT,9.38,6153,5833,242,19,onsite_conversion.messaging_conversation_started_7d,8
2024-05,120208838386110641,Physiotherapy | Original Audience | 2024 May 30,OUTCOME_ENGAGEMENT,28.25,18335,14216,722,70,onsite_conversion.messaging_conversation_started_7d,26
2024-05,120208838433360641,Nursing | Instant Forms | 2024 May 30,OUTCOME_LEADS,8.65,6920,6142,261,75,leadgen.other,1
2024-06,120207749462600641,Physiotherapy | Full Advantage+ | 2024/4/29,OUTCOME_ENGAGEMENT,1.58,938,904,49,6,onsite_conversion.messaging_conversation_started_7d,1
2024-06,120207749526440641,Physiotherapy | Original Audience | 2024/4/29,OUTCOME_ENGAGEMENT,1.54,866,803,39,5,onsite_conversion.messaging_conversation_started_7d,
2024-06,120208187492930641,IPR | Original Audince | CBO | 2024/5/13,OUTCOME_ENGAGEMENT,39.66,29328,10913,1558,160,onsite_conversion.messaging_conversation_started_7d,63
2024-06,120208466688490641,Nursing CBO 2024/5/19,OUTCOME_ENGAGEMENT,299.55,267709,159273,11929,1568,onsite_conversion.messaging_conversation_started_7d,726
2024-06,120208586907690641,Lab Test | Original Audince | 2024/5/22,OUTCOME_ENGAGEMENT,128.06,35749,17129,1679,423,onsite_conversion.messaging_conversation_started_7d,103
2024-06,120208780726700641,App Installs | Android | 2024 May 27,OUTCOME_APP_PROMOTION,180.12,410759,163642,7491,6404,mobile_app_install,3807
2024-06,120208780823020641,App Installs | iOS | 2024 May 27,OUTCOME_APP_PROMOTION,178.32,465603,195620,10408,4512,mobile_app_install,2118
2024-06,120208838386040641,Physiotherapy | LAL | 2024 May 30,OUTCOME_ENGAGEMENT,256.78,351389,177625,8346,1610,onsite_conversion.messaging_conversation_started_7d,427
2024-06,120208838386070641,Physiotherapy | Full Advantage+ | 2024 May 30,OUTCOME_ENGAGEMENT,128.53,123906,81405,3366,676,onsite_conversion.messaging_conversation_started_7d,238
2024-06,120208838386110641,Physiotherapy | Original Audience | 2024 May 30,OUTCOME_ENGAGEMENT,386.37,459418,205328,11623,2265,onsite_conversion.messaging_conversation_started_7d,668
2024-06,120208838433360641,Nursing | Instant Forms | 2024 May 30,OUTCOME_LEADS,4.57,3615,3329,140,35,leadgen.other,
2024-06,120208900306680641,📍Physiotherapy | $6 | Testing,OUTCOME_ENGAGEMENT,85.94,50979,23058,2009,396,onsite_conversion.messaging_conversation_started_7d,134
2024-06,120208900779870641,Hiring Campaign,OUTCOME_ENGAGEMENT,7.98,7265,4211,551,161,onsite_conversion.messaging_conversation_started_7d,87
2024-06,120208901761200641,Nursing | Testing,OUTCOME_ENGAGEMENT,83.99,49013,21238,1550,234,onsite_conversion.messaging_conversation_started_7d,61
2024-06,120208943174270641,Omni Awareness Campaign,OUTCOME_AWARENESS,296.45,2608284,685221,7014,1408,reach,685221
2024-07,120208466688490641,Nursing CBO 2024/5/19,OUTCOME_ENGAGEMENT,597.55,477464,250985,22899,2300,onsite_conversion.messaging_conversation_started_7d,878
2024-07,120208586907690641,Lab Test | Original Audince | 2024/5/22,OUTCOME_ENGAGEMENT,155.41,40113,20097,2193,569,onsite_conversion.messaging_conversation_started_7d,138
2024-07,120208780726700641,App Installs | Android | 2024 May 27,OUTCOME_APP_PROMOTION,185.65,422182,196596,6756,5167,mobile_app_install,2910
2024-07,120208780823020641,App Installs | iOS | 2024 May 27,OUTCOME_APP_PROMOTION,183.71,457376,229712,8201,3684,mobile_app_install,1720
2024-07,120208838386040641,Physiotherapy | LAL | 2024 May 30,OUTCOME_ENGAGEMENT,141.39,150413,89666,3253,717,onsite_conversion.messaging_conversation_started_7d,236
2024-07,120208838386070641,Physiotherapy | Full Advantage+ | 2024 May 30,OUTCOME_ENGAGEMENT,70.71,55497,39327,1401,343,onsite_conversion.messaging_conversation_started_7d,111
2024-07,120208838386110641,Physiotherapy | Original Audience | 2024 May 30,OUTCOME_ENGAGEMENT,211.75,281181,154188,5747,1389,onsite_conversion.messaging_conversation_started_7d,359
2024-07,120208900306680641,📍Physiotherapy | $6 | Testing,OUTCOME_ENGAGEMENT,150.41,115185,44063,3960,709,onsite_conversion.messaging_conversation_started_7d,211
2024-07,120208943174270641,Omni Awareness Campaign,OUTCOME_AWARENESS,368.44,3406195,861894,7203,1716,reach,861894
2024-07,120209505761140641,Dr Visit | $5 | Testing,OUTCOME_ENGAGEMENT,255.23,273785,116650,11163,1744,onsite_conversion.messaging_conversation_started_7d,614
2024-07,120209528715310641,Imaging Services | $8 | 2024 Jul 7,OUTCOME_ENGAGEMENT,146.05,214575,99575,16562,1009,onsite_conversion.messaging_conversation_started_7d,787
2024-07,120209654211350641,Physiotherapy | Original Audience | 2024 Jul 15,OUTCOME_ENGAGEMENT,255.62,333271,169506,6382,1366,onsite_conversion.messaging_conversation_started_7d,386
2024-07,120209655369130641,Physiotherapy | $10 | LAL | 2024 Jul 15,OUTCOME_ENGAGEMENT,85.11,71917,45478,2071,426,onsite_conversion.messaging_conversation_started_7d,124
