day,service_category,visit_status,services_delivered,distinct_orders,distinct_patients
2024-02-22,ambulance,cancelled,0,0,0
2024-02-22,physiotherapy,finished,1,1,1
2024-02-23,ambulance,cancelled,0,0,0
2024-02-23,physiotherapy,finished,1,1,1
2024-02-24,ambulance,cancelled,0,0,0
2024-02-25,ambulance,cancelled,0,0,0
2024-02-26,ambulance,cancelled,0,0,0
2024-02-26,physiotherapy,finished,1,1,1
2024-02-27,ambulance,cancelled,0,0,0
2024-02-28,ambulance,cancelled,0,0,0
2024-02-29,ambulance,cancelled,0,0,0
2024-03-01,ambulance,cancelled,0,0,0
2024-03-02,ambulance,cancelled,0,0,0
2024-03-03,ambulance,cancelled,0,0,0
2024-03-04,ambulance,cancelled,0,0,0
2024-03-05,ambulance,cancelled,0,0,0
2024-03-06,ambulance,cancelled,0,0,0
2024-03-07,ambulance,cancelled,0,0,0
2024-03-08,ambulance,cancelled,0,0,0
2024-03-09,ambulance,cancelled,0,0,0
2024-03-10,ambulance,cancelled,0,0,0
2024-03-11,ambulance,cancelled,0,0,0
2024-03-12,ambulance,cancelled,0,0,0
2024-03-12,labTest,finished,1,1,1
2024-03-13,ambulance,cancelled,0,0,0
2024-03-14,ambulance,cancelled,0,0,0
2024-03-14,nursing,finished,2,2,2
2024-03-14,physiotherapy,finished,1,1,1
2024-03-15,ambulance,cancelled,0,0,0
2024-03-15,nursing,finished,4,4,3
2024-03-15,physiotherapy,finished,2,2,2
2024-03-16,ambulance,cancelled,0,0,0
2024-03-16,nursing,finished,3,3,2
2024-03-16,physiotherapy,finished,1,1,1
2024-03-17,ambulance,cancelled,0,0,0
2024-03-17,nursing,finished,3,3,2
2024-03-17,physiotherapy,cancelled,1,1,1
2024-03-17,physiotherapy,finished,3,3,3
2024-03-18,ambulance,cancelled,0,0,0
2024-03-18,nursing,finished,3,3,2
2024-03-18,physiotherapy,finished,1,1,1
2024-03-19,ambulance,cancelled,0,0,0
2024-03-19,nursing,finished,2,2,2
2024-03-19,physiotherapy,finished,3,3,3
2024-03-20,ambulance,cancelled,0,0,0
2024-03-20,nursing,finished,1,1,1
2024-03-20,physiotherapy,cancelled,3,3,3
2024-03-20,physiotherapy,finished,5,5,5
2024-03-21,ambulance,cancelled,0,0,0
2024-03-21,nursing,finished,2,2,2
2024-03-21,physiotherapy,finished,3,3,3
2024-03-22,ambulance,cancelled,0,0,0
2024-03-22,doctorVisit,finished,1,1,1
2024-03-22,physiotherapy,finished,6,6,6
2024-03-23,ambulance,cancelled,0,0,0
2024-03-23,physiotherapy,cancelled,2,2,2
2024-03-23,physiotherapy,finished,1,1,1
2024-03-24,ambulance,cancelled,0,0,0
2024-03-24,doctorVisit,finished,1,1,1
2024-03-24,physiotherapy,finished,2,2,2
2024-03-25,ambulance,cancelled,0,0,0
2024-03-25,nursing,finished,4,4,4
2024-03-25,physiotherapy,cancelled,1,1,1
2024-03-25,physiotherapy,finished,6,6,6
2024-03-26,ambulance,cancelled,0,0,0
2024-03-26,nursing,finished,3,3,2
2024-03-26,physiotherapy,finished,6,6,6
2024-03-27,ambulance,cancelled,0,0,0
2024-03-27,doctorVisit,finished,1,1,1
2024-03-27,nursing,finished,2,2,1
2024-03-27,physiotherapy,finished,5,5,5
2024-03-28,ambulance,cancelled,0,0,0
2024-03-28,nursing,finished,2,2,2
2024-03-28,physiotherapy,cancelled,1,1,1
2024-03-28,physiotherapy,finished,8,8,8
2024-03-29,ambulance,cancelled,0,0,0
2024-03-29,doctorVisit,finished,1,1,1
2024-03-29,labTest,cancelled,1,1,1
2024-03-29,physiotherapy,cancelled,2,2,2
2024-03-29,physiotherapy,finished,5,5,5
2024-03-30,ambulance,cancelled,0,0,0
2024-03-30,nursing,cancelled,1,1,1
2024-03-30,physiotherapy,finished,11,11,11
2024-03-31,ambulance,cancelled,0,0,0
2024-03-31,nursing,finished,1,1,1
2024-03-31,physiotherapy,cancelled,1,1,1
2024-03-31,physiotherapy,finished,6,6,6
2024-03-31,psychiatristVisit,finished,1,1,1
2024-04-01,ambulance,cancelled,0,0,0
2024-04-01,doctorVisit,finished,2,2,2
2024-04-01,labTest,finished,1,1,1
2024-04-01,physiotherapy,cancelled,5,5,5
2024-04-01,physiotherapy,finished,11,11,11
2024-04-01,psychiatristVisit,cancelled,1,1,1
2024-04-01,psychiatristVisit,finished,1,1,1
2024-04-02,ambulance,cancelled,0,0,0
2024-04-02,physiotherapy,cancelled,1,1,1
2024-04-02,physiotherapy,finished,5,5,5
2024-04-03,ambulance,cancelled,0,0,0
2024-04-03,echocardiogram,finished,1,1,1
2024-04-03,labTest,finished,2,2,2
2024-04-03,nursing,finished,1,1,1
2024-04-03,physiotherapy,finished,6,6,6
2024-04-04,ambulance,cancelled,0,0,0
2024-04-04,nursing,finished,3,3,2
2024-04-04,physiotherapy,finished,8,8,8
2024-04-05,ambulance,cancelled,0,0,0
2024-04-05,ambulance,finished,1,1,1
2024-04-05,doctorVisit,finished,2,2,2
